Wavelength,X,Y,Z,x(l),y(l)
685,0.028623,0.011130,0.000000,0.720020,0.279980
690,0.019941,0.007749,0.000000,0.720160,0.279840
695,0.013842,0.005375,0.000000,0.720300,0.279700
700,0.009577,0.003718,0.000000,0.720360,0.279640
705,0.006605,0.002565,0.000000,0.720320,0.279680
710,0.004553,0.001768,0.000000,0.720230,0.279770
715,0.003145,0.001222,0.000000,0.720090,0.279910
720,0.002175,0.000846,0.000000,0.719910,0.280090
725,0.001506,0.000586,0.000000,0.719690,0.280310
730,0.001045,0.000407,0.000000,0.719450,0.280550
735,0.000727,0.000284,0.000000,0.719190,0.280810
740,0.000508,0.000199,0.000000,0.718910,0.281090
745,0.000356,0.000140,0.000000,0.718610,0.281390
750,0.000251,0.000098,0.000000,0.718290,0.281710
755,0.000178,0.000070,0.000000,0.717960,0.282040
760,0.000126,0.000050,0.000000,0.717610,0.282390
765,0.000090,0.000036,0.000000,0.717240,0.282760
770,0.000065,0.000025,0.000000,0.716860,0.283140
775,0.000046,0.000018,0.000000,0.716460,0.283540
780,0.000033,0.000013,0.000000,0.716060,0.283940
380,0.00003,-0.00001,0.00117,,
385,0.00005,-0.00002,0.00189,,
390,0.00010,-0.00004,0.00359,,
395,0.00017,-0.00007,0.00647,,
400,0.00030,-0.00014,0.01214,,
405,0.00047,-0.00022,0.01969,,
410,0.00084,-0.00041,0.03707,,
415,0.00139,-0.00070,0.06637,,
420,0.00211,-0.00110,0.11541,,
425,0.00266,-0.00143,0.18575,,
430,0.00218,-0.00119,0.24769,,
435,0.00036,-0.00021,0.29012,,
440,-0.00261,0.00149,0.31228,,
445,-0.00673,0.00379,0.31860,,
450,-0.01213,0.00678,0.31670,,
455,-0.01874,0.01046,0.31166,,
460,-0.02608,0.01485,0.29821,,
465,-0.03324,0.01977,0.27295,,
470,-0.03933,0.02538,0.22991,,
475,-0.04471,0.03183,0.18592,,
480,-0.04939,0.03914,0.14494,,
485,-0.05364,0.04713,0.10968,,
490,-0.05814,0.05689,0.08257,,
495,-0.06414,0.06948,0.06246,,
500,-0.07173,0.08536,0.04776,,
505,-0.08120,0.10593,0.03688,,
510,-0.08901,0.12860,0.02698,,
515,-0.09356,0.15262,0.01842,,
520,-0.09264,0.17468,0.01221,,
525,-0.08473,0.19113,0.00830,,
530,-0.07101,0.20317,0.00549,,
535,-0.05316,0.21083,0.00320,,
540,-0.03152,0.21466,0.00146,,
545,-0.00613,0.21487,0.00023,,
550,0.02279,0.21178,-0.00058,,
555,0.05514,0.20588,-0.00105,,
560,0.09060,0.19702,-0.00130,,
565,0.12840,0.18522,-0.00138,,
570,0.16768,0.17087,-0.00135,,
575,0.20715,0.15429,-0.00123,,
580,0.24526,0.13610,-0.00108,,
585,0.27989,0.11686,-0.00093,,
590,0.30928,0.09754,-0.00079,,
595,0.33184,0.07909,-0.00063,,
600,0.34429,0.06246,-0.00049,,
605,0.34756,0.04776,-0.00038,,
610,0.33971,0.03557,-0.00030,,
615,0.32265,0.02583,-0.00022,,
620,0.29708,0.01828,-0.00015,,
625,0.26348,0.01253,-0.00011,,
630,0.22677,0.00833,-0.00008,,
635,0.19233,0.00537,-0.00005,,
640,0.15968,0.00334,-0.00003,,
645,0.12905,0.00199,-0.00002,,
650,0.10167,0.00116,-0.00001,,
655,0.07857,0.00066,-0.00001,,
660,0.05932,0.00037,0.00000,,
665,0.04366,0.00021,0.00000,,
670,0.03149,0.00011,0.00000,,
675,0.02294,0.00006,0.00000,,
680,0.01687,0.00003,0.00000,,
685,0.01187,0.00001,0.00000,,
690,0.00819,0.00000,0.00000,,
695,0.00572,0.00000,0.00000,,
700,0.00410,0.00000,0.00000,,
705,0.00291,0.00000,0.00000,,
710,0.00210,0.00000,0.00000,,
715,0.00148,0.00000,0.00000,,
720,0.00105,0.00000,0.00000,,
725,0.00074,0.00000,0.00000,,
730,0.00052,0.00000,0.00000,,
735,0.00036,0.00000,0.00000,,
740,0.00025,0.00000,0.00000,,
745,0.00017,0.00000,0.00000,,
750,0.00012,0.00000,0.00000,,
755,0.00008,0.00000,0.00000,,
760,0.00006,0.00000,0.00000,,
765,0.00004,0.00000,0.00000,,
770,0.00003,0.00000,0.00000,,
775,0.00001,0.00000,0.00000,,
780,0.00000,0.00000,0.00000,,
380,0.0272,-0.0115,0.9843,,
385,0.0268,-0.0114,0.9846,,
390,0.0263,-0.0114,0.9851,,
395,0.0256,-0.0113,0.9857,,
400,0.0247,-0.0112,0.9865,,
405,0.0237,-0.0111,0.9874,,
410,0.0225,-0.0109,0.9884,,
415,0.0207,-0.0104,0.9897,,
420,0.0181,-0.0094,0.9913,,
425,0.0142,-0.0076,0.9934,,
430,0.0088,-0.0048,0.9960,,
435,0.0012,-0.0007,0.9995,,
440,-0.0084,0.0048,1.0036,,
445,-0.0213,0.0120,1.0093,,
450,-0.0390,0.0218,1.0172,,
455,-0.0618,0.0345,1.0273,,
460,-0.0909,0.0517,1.0392,,
465,-0.1281,0.0762,1.0519,,
470,-0.1821,0.1175,1.0646,,
475,-0.2584,0.1840,1.0744,,
480,-0.3667,0.2906,1.0761,,
485,-0.5200,0.4568,1.0632,,
490,-0.7150,0.6996,1.0154,,
495,-0.9459,1.0247,0.9212,,
500,-1.1685,1.3905,0.7780,,
505,-1.3182,1.7195,0.5987,,
510,-1.3371,1.9318,0.4053,,
515,-1.2076,1.9699,0.2377,,
520,-0.9830,1.8534,0.1296,,
525,-0.7386,1.6662,0.0724,,
530,-0.5159,1.4761,0.0398,,
535,-0.3304,1.3105,0.0199,,
540,-0.1707,1.1628,0.0079,,
545,-0.0293,1.0282,0.0011,,
550,0.0974,0.9051,-0.0025,,
555,0.2121,0.7919,-0.0040,,
560,0.3164,0.6881,-0.0045,,
565,0.4112,0.5932,-0.0044,,
570,0.4973,0.5067,-0.0040,,
575,0.5751,0.4283,-0.0034,,
580,0.6449,0.3579,-0.0028,,
585,0.7071,0.2952,-0.0023,,
590,0.7617,0.2402,-0.0019,,
595,0.8087,0.1928,-0.0015,,
600,0.8475,0.1537,-0.0012,,
605,0.8800,0.1209,-0.0009,,
610,0.9059,0.0949,-0.0008,,
615,0.9265,0.0741,-0.0006,,
620,0.9425,0.0580,-0.0005,,
625,0.9550,0.0454,-0.0004,,
630,0.9649,0.0354,-0.0003,,
635,0.9730,0.0272,-0.0002,,
640,0.9797,0.0205,-0.0002,,
645,0.9850,0.0152,-0.0002,,
650,0.9888,0.0113,-0.0001,,
655,0.9918,0.0083,-0.0001,,
660,0.9940,0.0061,-0.0001,,
665,0.9954,0.0047,-0.0001,,
670,0.9966,0.0035,-0.0001,,
675,0.9975,0.0025,0.0000,,
680,0.9984,0.0016,0.0000,,
685,0.9991,0.0009,0.0000,,
690,0.9996,0.0004,0.0000,,
695,0.9999,0.0001,0.0000,,
700,1.0000,0.0000,0.0000,,
705,1.0000,0.0000,0.0000,,
710,1.0000,0.0000,0.0000,,
715,1.0000,0.0000,0.0000,,
720,1.0000,0.0000,0.0000,,
725,1.0000,0.0000,0.0000,,
730,1.0000,0.0000,0.0000,,
735,1.0000,0.0000,0.0000,,
740,1.0000,0.0000,0.0000,,
745,1.0000,0.0000,0.0000,,
750,1.0000,0.0000,0.0000,,
755,1.0000,0.0000,0.0000,,
760,1.0000,0.0000,0.0000,,
765,1.0000,0.0000,0.0000,,
770,1.0000,0.0000,0.0000,,
775,1.0000,0.0000,0.0000,,
780,1.0000,0.0000,0.0000,,
,,,,,
